,Hepatocyte,Endothelial cell,Cholangiocyte,Kupffer cell,Stromal cell,B cell,Other immune cells
Adamtsl2,0.0,0.0,0.0,0.0,6.5,0.0,0.0
Adgre1,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Adgrg6,0.0,0.0,2.8,0.0,0.0,0.0,0.0
Axl,0.0,0.0,0.0,4.8,0.0,0.0,0.0
C5ar1,0.0,0.0,0.0,2.6,0.0,0.0,0.0
Ccr2,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Ccr7,0.0,0.0,0.0,0.0,0.0,5.6,0.0
Cd14,0.0,0.0,1.1,2.8,0.0,0.0,0.0
Cd19,0.0,0.0,0.0,0.0,0.0,8.2,0.0
Cd207,0.0,0.0,0.0,5.1,0.0,0.0,0.0
Cd36,0.0,3.6,0.0,0.5,0.0,0.0,0.0
Cd5l,0.0,0.0,0.0,7.1,0.0,0.0,0.0
Cd79a,0.0,0.0,0.0,0.0,0.0,9.4,0.0
Cd9,0.0,2.2,2.7,0.0,0.0,0.0,5.0
Clec4f,0.0,0.0,0.0,6.7,0.0,0.0,0.0
Colec11,0.0,0.0,0.0,0.0,8.2,0.0,0.0
Cxcl12,1.8,0.0,0.0,0.0,5.7,0.0,0.0
Cyp2e1,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Dcn,0.0,0.0,0.0,0.0,8.4,0.0,0.0
Des,0.0,0.0,0.0,0.0,6.3,0.0,0.0
Epcam,0.0,0.0,7.6,0.0,0.0,0.0,0.0
Fcgr1,0.0,0.0,0.0,3.9,0.0,0.0,0.0
Flt3,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Flt4,0.0,7.1,0.0,0.0,0.0,0.0,0.0
Fn1,1.5,0.0,1.7,0.0,1.5,0.0,0.0
Folr2,0.0,0.0,0.0,6.3,0.0,0.0,0.0
Ghr,6.9,0.0,0.0,0.0,0.0,0.0,0.0
Gls2,4.8,0.0,0.0,0.0,0.0,0.0,0.0
Hal,4.1,0.0,0.0,0.0,0.0,0.0,0.0
Hgf,0.0,2.4,0.0,0.0,4.7,0.0,0.0
Igfbp3,0.0,0.0,0.0,0.0,7.7,0.0,0.0
Itgax,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Itgb7,0.0,0.0,0.0,0.0,0.0,1.5,5.0
Krt19,0.0,0.0,7.3,0.0,0.0,0.0,0.0
Lilra5,0.0,0.0,0.0,5.1,0.0,0.0,0.0
Lpl,0.0,0.0,0.0,5.0,0.5,0.0,0.0
Lyve1,0.0,6.3,0.0,0.0,0.0,0.0,0.0
Mafb,0.0,0.0,0.0,4.4,0.0,0.0,0.0
Marco,0.0,0.0,0.0,6.1,0.0,0.0,0.0
Ms4a7,0.0,0.0,0.0,3.6,0.0,0.0,0.0
Nrxn1,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Olfml3,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Pck1,4.9,0.0,0.0,0.0,0.0,0.0,0.0
Pdgfra,0.0,0.0,0.0,0.0,8.6,0.0,0.0
Pdgfrb,0.0,0.0,0.0,0.0,7.9,0.0,0.0
Pecam1,0.0,4.0,0.0,0.0,0.0,0.8,0.0
Plpp1,0.0,5.9,0.0,0.0,0.0,0.0,0.0
Prox1,4.7,0.0,4.0,0.0,0.0,0.0,0.0
Reln,0.0,0.0,0.0,0.0,8.7,0.0,0.0
Rspo3,0.0,0.0,0.0,0.0,4.3,0.0,0.0
Sds,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Sirpa,0.0,0.0,0.0,2.7,0.0,0.0,0.0
Slc40a1,0.0,0.0,0.0,4.7,0.0,0.0,0.0
Sox9,0.0,0.0,8.4,0.0,0.0,0.0,0.0
Spn,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Spp1,0.0,0.0,9.2,0.0,0.0,0.0,0.0
Stab2,0.0,5.6,0.0,0.5,0.0,0.0,0.0
Timd4,0.0,0.0,0.0,6.2,0.0,0.0,0.0
Vsig4,0.0,0.0,0.0,6.7,0.0,0.0,0.0
Wnt2,0.0,7.1,0.0,0.0,0.0,0.0,0.0
